French,cell id,action,success,error
chiant.e,852afcf4-4265-41b2-98ca-c05e3022c003,delete,True,
updated-en bon père de famille,d2fb90f4-aff5-467d-b98b-e9c52a88afbf,update,True,
rareté,3e132220-75fa-433c-9f3e-4d785815ae56,add,True,
à l’aide !,5fb972c9-8228-4c8f-9dca-41c1d3974152,add,True,
de bon père de famille,1d23c22b-1c3a-4a99-828c-0ca4516d42e7,add,True,
placement de bon père de famille,cd279953-916a-4a92-8ea2-8781c7b6c7d3,add,True,
sur son propre,739c6f57-3fa4-4438-9430-b51447583a0e,add,True,
à fin de,ff7e6c3e-4084-4cf2-b17c-8b26af8ce9c1,add,True,
se souvenir,c59b86ec-2910-4c93-8836-20cb0956f4ff,add,True,
rappeler,f127c7e1-fbdf-47e2-8f2a-a793ee246c79,add,True,
